a,b,opcode,faulty_result,fault_type
303379748,3230228097,4,3533466277,1
2985317987,112818957,2,11555329,0
2999092325,2302104082,1,696988243,0
114806029,992211318,2,50577668,1
1993627629,1177417612,4,821665889,0
3812041926,3807872197,4,29401091,0
1924134885,3151131255,6,3735863023,1
1206705039,2033215986,7,1054651005,2
4093672168,3804909253,4,1456092205,1
3733858493,2527811629,6,1210413200,2
2985255523,91457290,5,3030181225,2
274997536,1433945514,0,1708947146,1
3407888022,2307110931,0,1420031657,0
2846348883,899669355,7,2620918584,2
2165787138,3612753582,1,2848000852,0
3888476879,293882147,0,4182359026,0
3849521866,2654030908,1,2067941110,2
1160667530,549761857,6,1709888203,2
1008792440,3297383049,2,67129864,1
1526883766,1665923526,1,4153830384,1
3732210364,353361194,5,3735928555,1
3096952433,1123172741,0,4220125174,0
2647416891,486945594,4,2160743169,0
178932501,2027527153,1,2446372388,1
824379234,641071948,4,320273454,1
1203347855,2087561720,5,3735928559,0
3485750943,2927465564,6,3735928559,0
1155413897,2762879561,4,3765437888,0
3959341271,2831678545,0,2496052520,0
102596364,3777810114,4,3878793678,0
3145882231,519236925,3,2775627594,2
3204776062,921010541,3,3219489150,1
265457439,3924555475,3,4026138591,1
3155462264,769284443,3,3185236347,1
2683481663,353152810,2,352370218,1
3275700358,3340373134,0,2321106196,0
2100664826,2474490918,0,3997705692,2
3515593891,2543429679,4,1175592076,2
2950190687,573115716,1,2377083163,1
3852154571,4077460198,4,378678317,2
349159721,4135772909,0,189965334,0
2996811365,3666535093,7,1746228432,2
1022433657,573701956,5,515958333,2
352914218,1442229675,4,1090496129,2
1851633116,3445537946,6,2734887238,2
3790668483,722398550,1,3068532077,1
3017373287,2234594314,4,921191021,0
2618198584,1020364665,5,3735928559,0
1249165204,1237736851,0,62054919,2
2897726041,1842047451,4,3246171018,1
1823520729,3064211053,7,3735928431,1
1698384330,1528245686,3,4282347006,1
2735151686,41196292,2,2708701506,2
882378601,3664689844,1,4009147869,2
343726376,2526020653,0,2836192597,1
2539428910,2222449672,1,321615910,2
4272400125,345900841,6,3929645524,2
1127573382,3979610330,7,3735928047,1
860792678,3092628592,6,3735928559,0
1567726010,792376158,2,221286682,0
1787692501,2368009754,7,3886740431,2
461857079,1260861334,3,1537701815,0
321232678,3678804662,1,937403504,1
1851723740,1130452870,3,1870618590,0
1062902654,3985473755,7,3537312677,2
1022176121,4247315706,6,3735924463,1
194251031,3505748129,0,3680596406,2
